Side,Noise,Image,TopLeft,TopMid,TopRight,BottomLeft,BottomMid,BottomRight
1,-1,39,CFD-WF-001-003-N.jpg,CFD-WM-001-011-HO.jpg,CFD-WM-219-008-N.jpg,CFD-WM-041-009-A.jpg,CFD-WM-011-003-HO.jpg,CFD-WM-207-048-N.jpg
0,1,19,CFD-WM-020-005-HC.jpg,CFD-WF-001-003-N.jpg,CFD-WM-230-131-N.jpg,CFD-WM-020-001-N.jpg,CFD-WM-201-063-N.jpg,CFD-WM-004-011-A.jpg
1,1,48,CFD-WF-001-003-N.jpg,CFD-WM-032-021-F.jpg,CFD-WM-216-061-N.jpg,CFD-WM-024-010-A.jpg,CFD-WM-010-004-HO.jpg,CFD-WM-031-004-HO.jpg
0,1,86,CFD-WM-002-009-N.jpg,CFD-WM-006-022-A.jpg,CFD-WM-233-106-N.jpg,CFD-WM-012-005-HO.jpg,CFD-WF-001-003-N.jpg,CFD-WM-002-017-A.jpg
1,1,36,CFD-WF-001-003-N.jpg,CFD-WM-020-001-N.jpg,CFD-WM-041-021-N.jpg,CFD-WM-209-038-N.jpg,CFD-WM-010-020-F.jpg,CFD-WM-026-004-HC.jpg
0,1,87,CFD-WM-038-011-A.jpg,CFD-WM-019-009-HO.jpg,CFD-WM-026-013-F.jpg,CFD-WM-217-070-N.jpg,CFD-WF-001-003-N.jpg,CFD-WM-010-016-A.jpg
0,-1,20,CFD-WM-035-018-A.jpg,CFD-WM-207-048-N.jpg,CFD-WM-009-006-HC.jpg,CFD-WF-001-003-N.jpg,CFD-WM-017-005-HO.jpg,CFD-WM-218-074-N.jpg
0,-1,121,CFD-WM-003-002-N.jpg,CFD-WM-023-015-F.jpg,CFD-WM-204-031-N.jpg,CFD-WM-209-038-N.jpg,CFD-WF-001-003-N.jpg,CFD-WM-029-014-A.jpg
0,-1,61,CFD-WF-001-003-N.jpg,CFD-WM-015-023-F.jpg,CFD-WM-221-091-N.jpg,CFD-WM-025-019-HO.jpg,CFD-WM-233-106-N.jpg,CFD-WM-029-020-F.jpg
1,-1,96,CFD-WM-017-003-HC.jpg,CFD-WM-029-029-HO.jpg,CFD-WF-001-003-N.jpg,CFD-WM-006-039-F.jpg,CFD-WM-031-003-N.jpg,CFD-WM-028-003-N.jpg
0,1,49,CFD-WF-001-003-N.jpg,CFD-WM-038-011-A.jpg,CFD-WM-003-008-A.jpg,CFD-WM-010-004-HO.jpg,CFD-WM-034-035-HO.jpg,CFD-WM-011-002-N.jpg
1,1,109,CFD-WM-230-131-N.jpg,CFD-WF-001-003-N.jpg,CFD-WM-009-002-N.jpg,CFD-WM-207-048-N.jpg,CFD-WM-018-005-HC.jpg,CFD-WM-020-012-F.jpg
0,-1,148,CFD-WM-033-014-A.jpg,CFD-WM-006-039-F.jpg,CFD-WM-012-026-F.jpg,CFD-WF-001-003-N.jpg,CFD-WM-029-009-HC.jpg,CFD-WM-037-060-A.jpg
1,-1,113,CFD-WM-011-011-A.jpg,CFD-WM-035-018-A.jpg,CFD-WM-220-068-N.jpg,CFD-WM-011-002-N.jpg,CFD-WM-012-005-HO.jpg,CFD-WF-001-003-N.jpg
0,-1,128,CFD-WM-023-001-N.jpg,CFD-WF-001-003-N.jpg,CFD-WM-240-125-N.jpg,CFD-WM-035-033-HO.jpg,CFD-WM-013-001-N.jpg,CFD-WM-024-019-F.jpg
1,1,66,CFD-WF-001-003-N.jpg,CFD-WM-020-012-F.jpg,CFD-WM-015-023-F.jpg,CFD-WM-004-011-A.jpg,CFD-WM-031-003-N.jpg,CFD-WM-035-033-HO.jpg
0,-1,139,CFD-WM-040-022-N.jpg,CFD-WF-001-003-N.jpg,CFD-WM-018-004-HO.jpg,CFD-WM-004-010-N.jpg,CFD-WM-013-001-N.jpg,CFD-WM-203-023-N.jpg
1,-1,28,CFD-WM-029-029-HO.jpg,CFD-WM-018-002-N.jpg,CFD-WM-219-008-N.jpg,CFD-WF-001-003-N.jpg,CFD-WM-018-005-HC.jpg,CFD-WM-021-006-HC.jpg
0,1,70,CFD-WM-024-010-A.jpg,CFD-WM-036-034-HO.jpg,CFD-WM-001-007-HC.jpg,CFD-WF-001-003-N.jpg,CFD-WM-220-068-N.jpg,CFD-WM-031-038-HC.jpg
1,1,46,CFD-WM-001-007-HC.jpg,CFD-WF-001-003-N.jpg,CFD-WM-243-107-N.jpg,CFD-WM-002-009-N.jpg,CFD-WM-038-018-F.jpg,CFD-WM-006-039-F.jpg
0,1,110,CFD-WM-019-013-A.jpg,CFD-WM-251-002-N.jpg,CFD-WF-001-003-N.jpg,CFD-WM-208-068-N.jpg,CFD-WM-021-001-N.jpg,CFD-WM-028-029-A.jpg
1,1,122,CFD-WM-039-008-HO.jpg,CFD-WM-023-004-HO.jpg,CFD-WM-026-006-HO.jpg,CFD-WF-001-003-N.jpg,CFD-WM-009-006-HC.jpg,CFD-WM-038-003-N.jpg
1,1,13,CFD-WM-015-005-HO.jpg,CFD-WM-009-009-A.jpg,CFD-WM-219-008-N.jpg,CFD-WF-001-003-N.jpg,CFD-WM-025-008-A.jpg,CFD-WM-002-007-HO.jpg
