# CSV-File created with merge-csv.com
# -----------------------------------------------------------

Side,Noise,Image,TopLeft,TopMid,TopRight,BottomLeft,BottomMid,BottomRight
1,1,68,CFD-WM-001-007-HC.jpg,CFD-WF-034-033-HO.jpg,CFD-WF-010-006-HO.jpg,CFD-WF-029-026-A.jpg,CFD-WF-011-011-A.jpg,CFD-WF-028-019-F.jpg
1,-1,40,CFD-WF-008-016-F.jpg,CFD-WF-009-006-HC.jpg,CFD-WF-003-003-N.jpg,CFD-WF-036-026-HO.jpg,CFD-WF-031-009-HC.jpg,CFD-WM-001-007-HC.jpg
0,1,149,CFD-WM-001-007-HC.jpg,CFD-WF-013-019-F.jpg,CFD-WF-012-012-A.jpg,CFD-WF-239-155-N.jpg,CFD-WF-001-009-HO.jpg,CFD-WF-025-006-HO.jpg
0,1,44,CFD-WF-023-003-N.jpg,CFD-WF-029-023-HC.jpg,CFD-WF-021-002-N.jpg,CFD-WM-001-007-HC.jpg,CFD-WF-026-017-HO.jpg,CFD-WF-023-026-F.jpg
1,-1,1,CFD-WF-014-012-A.jpg,CFD-WF-033-005-HO.jpg,CFD-WF-214-122-N.jpg,CFD-WM-001-007-HC.jpg,CFD-WF-036-040-F.jpg,CFD-WF-007-005-HC.jpg
0,1,12,CFD-WF-008-005-HC.jpg,CFD-WF-037-016-A.jpg,CFD-WM-001-007-HC.jpg,CFD-WF-026-008-A.jpg,CFD-WF-217-085-N.jpg,CFD-WF-226-095-N.jpg
0,-1,76,CFD-WF-027-003-N.jpg,CFD-WF-025-006-HO.jpg,CFD-WF-039-005-HO.jpg,CFD-WM-001-007-HC.jpg,CFD-WF-025-031-F.jpg,CFD-WF-005-010-N.jpg
1,-1,35,CFD-WM-001-007-HC.jpg,CFD-WF-206-147-N.jpg,CFD-WF-006-002-N.jpg,CFD-WF-019-035-HO.jpg,CFD-WF-023-021-HC.jpg,CFD-WF-225-101-N.jpg
0,1,4,CFD-WM-001-007-HC.jpg,CFD-WF-027-014-A.jpg,CFD-WF-017-003-N.jpg,CFD-WF-018-017-N.jpg,CFD-WF-024-003-N.jpg,CFD-WF-224-099-N.jpg
1,1,34,CFD-WF-025-023-HC.jpg,CFD-WF-008-011-A.jpg,CFD-WM-001-007-HC.jpg,CFD-WF-209-052-N.jpg,CFD-WF-022-017-N.jpg,CFD-WF-002-008-HC.jpg
0,1,148,CFD-WF-019-024-F.jpg,CFD-WF-027-007-HC.jpg,CFD-WF-024-006-HO.jpg,CFD-WF-039-005-HO.jpg,CFD-WM-001-007-HC.jpg,CFD-WF-023-020-HO.jpg
1,1,134,CFD-WF-214-122-N.jpg,CFD-WF-039-032-A.jpg,CFD-WF-028-019-F.jpg,CFD-WM-001-007-HC.jpg,CFD-WF-224-099-N.jpg,CFD-WF-031-045-F.jpg
1,-1,23,CFD-WF-232-161-N.jpg,CFD-WF-009-006-HC.jpg,CFD-WM-001-007-HC.jpg,CFD-WF-023-020-HO.jpg,CFD-WF-210-086-N.jpg,CFD-WF-005-013-HO.jpg
0,-1,85,CFD-WF-011-011-A.jpg,CFD-WF-024-031-F.jpg,CFD-WM-001-007-HC.jpg,CFD-WF-014-009-HC.jpg,CFD-WF-217-085-N.jpg,CFD-WF-038-033-F.jpg
0,-1,8,CFD-WF-015-006-N.jpg,CFD-WF-218-087-N.jpg,CFD-WF-249-126-N.jpg,CFD-WF-038-033-F.jpg,CFD-WM-001-007-HC.jpg,CFD-WF-202-056-N.jpg
1,-1,21,CFD-WM-001-007-HC.jpg,CFD-WF-020-007-HC.jpg,CFD-WF-038-023-HO.jpg,CFD-WF-027-014-A.jpg,CFD-WF-010-013-F.jpg,CFD-WF-021-016-HO.jpg
1,1,78,CFD-WF-003-003-N.jpg,CFD-WM-001-007-HC.jpg,CFD-WF-022-023-A.jpg,CFD-WF-026-024-F.jpg,CFD-WF-035-027-HO.jpg,CFD-WF-007-029-A.jpg
1,1,26,CFD-WF-010-008-HC.jpg,CFD-WF-037-024-F.jpg,CFD-WM-001-007-HC.jpg,CFD-WF-010-004-N.jpg,CFD-WF-233-112-N.jpg,CFD-WF-023-026-F.jpg
1,1,70,CFD-WF-033-031-A.jpg,CFD-WF-023-020-HO.jpg,CFD-WM-001-007-HC.jpg,CFD-WF-006-019-A.jpg,CFD-WF-238-023-N.jpg,CFD-WF-018-012-A.jpg
0,1,129,CFD-WF-006-011-F.jpg,CFD-WF-008-016-F.jpg,CFD-WM-001-007-HC.jpg,CFD-WF-013-006-HO.jpg,CFD-WF-038-023-HO.jpg,CFD-WF-017-012-F.jpg
1,1,15,CFD-WF-035-024-N.jpg,CFD-WF-034-016-A.jpg,CFD-WF-229-004-N.jpg,CFD-WM-001-007-HC.jpg,CFD-WF-030-033-A.jpg,CFD-WF-223-133-N.jpg
0,-1,5,CFD-WF-030-031-HC.jpg,CFD-WF-003-007-HC.jpg,CFD-WM-001-007-HC.jpg,CFD-WF-005-022-A.jpg,CFD-WF-036-015-A.jpg,CFD-WF-214-122-N.jpg
1,-1,66,CFD-WF-014-009-HC.jpg,CFD-WF-016-024-F.jpg,CFD-WM-001-007-HC.jpg,CFD-WF-023-013-A.jpg,CFD-WF-025-006-HO.jpg,CFD-WF-001-003-N.jpg
0,1,139,CFD-WF-024-010-HC.jpg,CFD-WF-024-003-N.jpg,CFD-WF-024-006-HO.jpg,CFD-WM-001-007-HC.jpg,CFD-WF-019-024-F.jpg,CFD-WF-243-148-N.jpg
1,1,33,CFD-WF-244-163-N.jpg,CFD-WM-001-007-HC.jpg,CFD-WF-009-006-HC.jpg,CFD-WF-026-018-HC.jpg,CFD-WF-022-007-HC.jpg,CFD-WF-012-017-F.jpg
0,-1,94,CFD-WM-001-007-HC.jpg,CFD-WF-008-002-N.jpg,CFD-WF-039-005-HO.jpg,CFD-WF-017-003-N.jpg,CFD-WF-212-050-N.jpg,CFD-WF-020-012-A.jpg
1,1,97,CFD-WF-007-026-F.jpg,CFD-WF-020-012-A.jpg,CFD-WF-033-005-HO.jpg,CFD-WF-034-006-N.jpg,CFD-WM-001-007-HC.jpg,CFD-WF-013-009-HC.jpg
0,1,58,CFD-WM-001-007-HC.jpg,CFD-WF-003-025-F.jpg,CFD-WF-229-004-N.jpg,CFD-WF-038-033-F.jpg,CFD-WF-031-015-A.jpg,CFD-WF-024-003-N.jpg
1,-1,120,CFD-WF-038-021-N.jpg,CFD-WF-014-002-N.jpg,CFD-WF-021-016-HO.jpg,CFD-WF-020-007-HC.jpg,CFD-WM-001-007-HC.jpg,CFD-WF-028-019-F.jpg
1,-1,43,CFD-WF-024-003-N.jpg,CFD-WF-249-126-N.jpg,CFD-WM-001-007-HC.jpg,CFD-WF-030-003-HO.jpg,CFD-WF-222-092-N.jpg,CFD-WF-007-001-N.jpg
1,1,27,CFD-WM-001-007-HC.jpg,CFD-WF-009-001-N.jpg,CFD-WF-028-024-HO.jpg,CFD-WF-016-017-HC.jpg,CFD-WF-021-013-F.jpg,CFD-WF-036-040-F.jpg
0,-1,138,CFD-WF-035-027-HO.jpg,CFD-WF-033-041-HC.jpg,CFD-WM-001-007-HC.jpg,CFD-WF-206-147-N.jpg,CFD-WF-034-016-A.jpg,CFD-WF-018-012-A.jpg
1,1,93,CFD-WF-035-027-HO.jpg,CFD-WF-005-010-N.jpg,CFD-WF-039-008-HC.jpg,CFD-WF-021-016-HO.jpg,CFD-WM-001-007-HC.jpg,CFD-WF-010-008-HC.jpg
0,1,57,CFD-WF-030-003-HO.jpg,CFD-WM-001-007-HC.jpg,CFD-WF-002-008-HC.jpg,CFD-WF-019-024-F.jpg,CFD-WF-016-003-HO.jpg,CFD-WF-025-031-F.jpg
1,1,83,CFD-WF-244-163-N.jpg,CFD-WM-001-007-HC.jpg,CFD-WF-010-004-N.jpg,CFD-WF-206-147-N.jpg,CFD-WF-243-148-N.jpg,CFD-WF-023-013-A.jpg
0,-1,9,CFD-WF-238-023-N.jpg,CFD-WM-001-007-HC.jpg,CFD-WF-011-016-F.jpg,CFD-WF-245-084-N.jpg,CFD-WF-014-009-HC.jpg,CFD-WF-023-020-HO.jpg
1,-1,52,CFD-WF-003-025-F.jpg,CFD-WF-037-024-F.jpg,CFD-WF-028-024-HO.jpg,CFD-WF-011-002-N.jpg,CFD-WF-020-027-F.jpg,CFD-WM-001-007-HC.jpg
0,-1,88,CFD-WF-232-161-N.jpg,CFD-WF-012-017-F.jpg,CFD-WF-008-003-HO.jpg,CFD-WM-001-007-HC.jpg,CFD-WF-016-003-HO.jpg,CFD-WF-007-001-N.jpg
1,1,98,CFD-WF-251-014-N.jpg,CFD-WF-240-083-N.jpg,CFD-WM-001-007-HC.jpg,CFD-WF-023-003-N.jpg,CFD-WF-238-023-N.jpg,CFD-WF-020-027-F.jpg
0,1,115,CFD-WF-009-010-A.jpg,CFD-WF-250-167-N.jpg,CFD-WF-245-084-N.jpg,CFD-WM-001-007-HC.jpg,CFD-WF-033-035-F.jpg,CFD-WF-038-021-N.jpg
1,-1,41,CFD-WF-027-015-F.jpg,CFD-WF-248-129-N.jpg,CFD-WF-035-033-A.jpg,CFD-WM-001-007-HC.jpg,CFD-WF-012-012-A.jpg,CFD-WF-214-122-N.jpg
0,1,132,CFD-WF-238-023-N.jpg,CFD-WF-024-029-A.jpg,CFD-WM-001-007-HC.jpg,CFD-WF-024-003-N.jpg,CFD-WF-016-021-A.jpg,CFD-WF-011-003-HO.jpg
